[2026-04-15T08:28:50.495Z] GET https://d2h1qfxg5j5pfv.cloudfront.net/fonts/brand-refresh/41py8ows3WL.woff2 → pending (?ms, ?B)
[2026-04-15T08:28:50.495Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:undefined%3Fat%26v%3D0.343434.0%26id%3D9YS3424KFYRK88EVG9SP%26m%3D1%26sc%3Dcsa%3Alcp%26lcp%3D1946%26pc%3D2906%26at%3D2906%26t%3D1776241730495%26pty%3DA20mMain%26spty%3DGET_RESOLVED_HTML_MANTL%26pti%3Dundefined%26tid%3D9YS3424KFYRK88EVG9SP%26aftb%3D1%26lob%3D0:2906 → pending (?ms, ?B)
[2026-04-15T08:28:50.898Z] GET https://m.media-amazon.com/images/I/41hFFRn9iEL.json?icon-library=fas → 200 (119ms, 27794B)
[2026-04-15T08:28:50.898Z] GET https://m.media-amazon.com/images/G/01/Amazon-Ads-Academy/Amazon_ads_logo_2x.png → 200 (123ms, 6502B)
[2026-04-15T08:28:50.926Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/campaigns/rising-stars/rising-stars-promo-thumbnail.png → 200 (127ms, 167502B)
[2026-04-15T08:28:50.926Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/campaigns/primeVideo/PrimeVideoNavigationThumbnail.jpg → 200 (140ms, 20558B)
[2026-04-15T08:28:50.926Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/partnerAwards/partner-awards-new-promo-art.png → 200 (140ms, 206525B)
[2026-04-15T08:28:50.926Z] GET https://m.media-amazon.com/images/G/01/AdProductsWebsite/images/campaigns/unboxed/unBoxed-2025-promo.png → 200 (140ms, 299102B)
[2026-04-15T08:28:51.034Z] GET https://m.media-amazon.com/images/I/01AYkYhDvIL.json?icon=angle-right → 200 (138ms, 159B)
[2026-04-15T08:28:51.347Z] POST https://cognito-identity.us-east-1.amazonaws.com/ → pending (?ms, 63B)
[2026-04-15T08:28:53.687Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:undefined%3Fat%26v%3D0.343434.0%26id%3D9YS3424KFYRK88EVG9SP%26m%3D1%26sc%3Dcsa%3Avl50%26vl50%3D3308%26pc%3D6094%26at%3D6095%26t%3D1776241733684%26pty%3DA20mMain%26spty%3DGET_RESOLVED_HTML_MANTL%26pti%3Dundefined%26tid%3D9YS3424KFYRK88EVG9SP%26aftb%3D1%26lob%3D0:6095 → 200 (206ms, 43B)
[2026-04-15T08:28:53.687Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:undefined%3Fat%26v%3D0.343434.0%26id%3D9YS3424KFYRK88EVG9SP%26m%3D1%26sc%3Dcsa%3Avl90%26vl90%3D3308%26pc%3D6095%26at%3D6095%26t%3D1776241733684%26pty%3DA20mMain%26spty%3DGET_RESOLVED_HTML_MANTL%26pti%3Dundefined%26tid%3D9YS3424KFYRK88EVG9SP%26aftb%3D1%26lob%3D0:6095 → 200 (207ms, 43B)
[2026-04-15T08:28:53.688Z] GET https://fls-na.amazon.com/1/batch/1/OP/A381WA5GOSXMH7:131-0412917-9196463:9YS3424KFYRK88EVG9SP$uedata=s:undefined%3Fat%26v%3D0.343434.0%26id%3D9YS3424KFYRK88EVG9SP%26m%3D1%26sc%3Dcsa%3Avl100%26vl100%3D3786%26pc%3D6095%26at%3D6095%26t%3D1776241733684%26pty%3DA20mMain%26spty%3DGET_RESOLVED_HTML_MANTL%26pti%3Dundefined%26tid%3D9YS3424KFYRK88EVG9SP%26aftb%3D1%26lob%3D0:6095 → 200 (206ms, 43B)
[2026-04-15T08:28:54.279Z] GET https://www.walmartconnect.com/ → pending (?ms, ?B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/.rum/@adobe/helix-rum-js@%5E2/dist/micro.js → 200 (186ms, 843B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-base.lc-3c3f5dd55b9ba40f3a512eeabe9e111c-lc.min.css → 200 (112ms, 108906B)
[2026-04-15T08:28:54.654Z] GET https://assets.adobedtm.com/a49994c1c918/c54adfcc8138/launch-13015c2e10a4.min.js → 200 (775ms, 321706B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-dependencies.lc-d41d8cd98f00b204e9800998ecf8427e-lc.min.js → 200 (151ms, ?B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-dependencies.lc-d41d8cd98f00b204e9800998ecf8427e-lc.min.css → 200 (151ms, ?B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-site.lc-426c604dbbe35e0f2de98fd462aa3f48-lc.min.css → 200 (122ms, 158868B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/etc.clientlibs/core/wcm/components/commons/datalayer/v2/clientlibs/core.wcm.components.commons.datalayer.v2.lc-1e0136bad0acfb78be509234578e44f9-lc.min.js → 200 (317ms, 2769B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/etc.clientlibs/core/wcm/components/commons/datalayer/acdl/core.wcm.components.commons.datalayer.acdl.lc-bf921af342fd2c40139671dbf0920a1f-lc.min.js → 200 (383ms, 32707B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/content/dam/walmart-connect-us/logos/us/walmart-connect-logo_white.svg → 200 (157ms, 4873B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--fd84bcf9-25da-417e-9841-5df4637cdfd0/Small-Business-Webinars-Tile.jpg.webp?preferwebp=true → 200 (518ms, 41630B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--0a83a679-b77f-446c-87ad-1999438161bb/Mondelez_holidays.png.webp?preferwebp=true → 200 (636ms, 156930B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--8cfa5bb5-3be4-4074-9c73-475de8618edb/partner-awards-nav-menu-image.jpg.webp?preferwebp=true → pending (?ms, ?B)
[2026-04-15T08:28:54.654Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--bc4b612a-29eb-44ad-b926-677310005c2d/woman-busines-owner-boxes.jpg.webp?preferwebp=true → pending (?ms, ?B)
[2026-04-15T08:28:54.655Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--47b3b06f-caa1-40a3-bb63-e5cfefb49b69/keep-growing.png.webp?preferwebp=true → 200 (636ms, 287410B)
[2026-04-15T08:28:54.656Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--31aa8da8-4550-45a9-83c4-de7cadd13928/smb-webinars-whats-new.jpg.webp?preferwebp=true → 200 (635ms, 104200B)
[2026-04-15T08:28:54.656Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--2ddafb26-c1ce-4cda-a15a-f306544eb922/sweet-hearts-case-study-wn.jpg.webp?preferwebp=true → 200 (635ms, 21814B)
[2026-04-15T08:28:54.656Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--ca0281bd-6d7a-499d-a72e-116d9348b602/Partner-Awards-home-wn.jpg.webp?preferwebp=true → 200 (635ms, 28080B)
[2026-04-15T08:28:54.656Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--41369ded-5ba1-4a01-aaba-a8c9c28c554d/150-Million-Customers-Stat.png.webp?preferwebp=true → 200 (635ms, 83610B)
[2026-04-15T08:28:54.659Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--41cd0ca0-9344-4960-ac40-b581a2ff5d51/trubar-thumbnail.jpg.webp?preferwebp=true → 200 (632ms, 71456B)
[2026-04-15T08:28:54.660Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-site/resources/images/play-icon.svg → 200 (395ms, 359B)
[2026-04-15T08:28:54.660Z] GET https://www.walmartconnect.com/content/dam/walmart-connect-us/resources/card-images/Case%20Study_Danone-Wavemaker-Flywheel_drinking-coffee.png → 200 (376ms, 300721B)
[2026-04-15T08:28:54.660Z] GET https://www.walmartconnect.com/content/dam/walmart-connect-us/resources/card-images/Case%20Study_MondelezTriscuit_bowl-of-triscuit-crackers.png → 200 (511ms, ?B)
[2026-04-15T08:28:54.660Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--4853241b-a0e6-4088-961c-6a4fb63c542b/Blog_Full-funnel-retail-media-real-results_team-collaboration.png.webp?preferwebp=true → 200 (631ms, ?B)
[2026-04-15T08:28:54.660Z] GET https://www.walmartconnect.com/content/dam/walmart-connect-us/resources/card-images/Case%20Study_PriorityTire_changing-tire.png → 200 (511ms, ?B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--e551366e-a878-4b45-aca6-5898209f0182/wmc-logo-stacked-dark.png.webp?preferwebp=true → pending (?ms, ?B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/adobe/dynamicmedia/deliver/dm-aid--3753fea1-2422-4857-96f6-559b8a0b310a/wmc-logo-stacked-dark.png.webp?preferwebp=true → 200 (628ms, 1893B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-site/resources/images/popup-close.svg → 200 (392ms, 538B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-site.lc-746a2a4b8727b57e1610b555f0e19b29-lc.min.js → 200 (308ms, 237890B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/etc.clientlibs/core/wcm/components/commons/site/clientlibs/container.lc-0a6aff292f5cc42142779cde92054524-lc.min.js → 200 (646ms, 1271B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/etc.clientlibs/clientlibs/granite/jquery/granite/csrf.lc-652a558c3774088b61b0530c184710d1-lc.min.js → 200 (509ms, 3618B)
[2026-04-15T08:28:54.663Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-base.lc-4967765add8a922492a7528ec0884938-lc.min.js → 200 (646ms, 37875B)
[2026-04-15T08:28:54.811Z] GET https://player.vimeo.com/video/1137898387?autoplay=1&muted=1&controls=0&loop=1&autopause=0 → 200 (607ms, 19889B)
[2026-04-15T08:28:54.811Z] GET https://player.vimeo.com/video/1132689427?background=1&autoplay=1&loop=1&muted=1 → 200 (611ms, 19939B)
[2026-04-15T08:28:54.811Z] GET https://player.vimeo.com/video/1133216445?background=1&autoplay=1&loop=1&muted=1 → 200 (605ms, 19896B)
[2026-04-15T08:28:54.811Z] GET https://player.vimeo.com/video/1133700886?background=1&autoplay=1&loop=1&muted=1 → 200 (606ms, 19870B)
[2026-04-15T08:28:54.837Z] GET https://www.walmartconnect.com/etc.clientlibs/walmart-connect/clientlibs/clientlib-site/resources/images/video-pause.svg → 200 (335ms, 255B)
